start_ip,end_ip,start_ip_hex,end_ip_hex,prefix_len,country,province,city,district,isp,division_code,latitude,longitude,geo_level,idc_vendor,cidr
2401:4180::,2401:4180:ffff:ffff:ffff:ffff:ffff:ffff,24014180000000000000000000000000,24014180ffffffffffffffffffffffff,32,中国,河南,平顶山,,,410400,33.766554,113.192595,city,,2401:4180::/32
2401:41c0::,2401:41c0:ffff:ffff:ffff:ffff:ffff:ffff,240141c0000000000000000000000000,240141c0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:41c0::/32
2401:4280::,2401:4280:ffff:ffff:ffff:ffff:ffff:ffff,24014280000000000000000000000000,24014280ffffffffffffffffffffffff,32,中国,河南,濮阳,,,410900,35.762731,115.029246,city,,2401:4280::/32
2401:4380::,2401:4380:ffff:ffff:ffff:ffff:ffff:ffff,24014380000000000000000000000000,24014380ffffffffffffffffffffffff,32,中国,河南,三门峡,,,411200,34.773196,111.200482,city,,2401:4380::/32
2401:4480::,2401:4480:ffff:ffff:ffff:ffff:ffff:ffff,24014480000000000000000000000000,24014480ffffffffffffffffffffffff,32,中国,河南,商丘,,,411400,34.415165,115.656358,city,,2401:4480::/32
2401:44c0::,2401:44c0:ffff:ffff:ffff:ffff:ffff:ffff,240144c0000000000000000000000000,240144c0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:44c0::/32
2401:4580::,2401:4580:ffff:ffff:ffff:ffff:ffff:ffff,24014580000000000000000000000000,24014580ffffffffffffffffffffffff,32,中国,河南,新乡,,,410700,35.303589,113.92679,city,,2401:4580::/32
2401:4680::,2401:4680:ffff:ffff:ffff:ffff:ffff:ffff,24014680000000000000000000000000,24014680ffffffffffffffffffffffff,32,中国,河南,信阳,,,411500,32.148624,114.091058,city,,2401:4680::/32
2401:4780::,2401:4780:ffff:ffff:ffff:ffff:ffff:ffff,24014780000000000000000000000000,24014780ffffffffffffffffffffffff,32,中国,河南,许昌,,,411000,34.03732,113.852004,city,,2401:4780::/32
2401:47c0::,2401:47c0:ffff:ffff:ffff:ffff:ffff:ffff,240147c0000000000000000000000000,240147c0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:47c0::/32
2401:4840::,2401:4840:ffff:ffff:ffff:ffff:ffff:ffff,24014840000000000000000000000000,24014840ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:4840::/32
2401:4860::,2401:4860:ffff:ffff:ffff:ffff:ffff:ffff,24014860000000000000000000000000,24014860ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:4860::/32
2401:4880::,2401:4880:ffff:ffff:ffff:ffff:ffff:ffff,24014880000000000000000000000000,24014880ffffffffffffffffffffffff,32,中国,河南,郑州,,,410100,34.746303,113.625351,city,,2401:4880::/32
2401:4a00::,2401:4a00:ffff:ffff:ffff:ffff:ffff:ffff,24014a00000000000000000000000000,24014a00ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:4a00::/32
2401:4a80::,2401:4a80:ffff:ffff:ffff:ffff:ffff:ffff,24014a80000000000000000000000000,24014a80ffffffffffffffffffffffff,32,中国,河南,驻马店,,,411700,33.014038,114.021988,city,,2401:4a80::/32
2401:4b00::,2401:4b00:ffff:ffff:ffff:ffff:ffff:ffff,24014b00000000000000000000000000,24014b00ffffffffffffffffffffffff,32,中国,上海,,,,310000,31.230525,121.473667,province,,2401:4b00::/32
2401:4bc0::,2401:4bc0:ffff:ffff:ffff:ffff:ffff:ffff,24014bc0000000000000000000000000,24014bc0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:4bc0::/32
2401:4c40::,2401:4c40:ffff:ffff:ffff:ffff:ffff:ffff,24014c40000000000000000000000000,24014c40ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:4c40::/32
2401:4ca0::,2401:4ca0:ffff:ffff:ffff:ffff:ffff:ffff,24014ca0000000000000000000000000,24014ca0ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:4ca0::/32
2401:4e60::,2401:4e60:ffff:ffff:ffff:ffff:ffff:ffff,24014e60000000000000000000000000,24014e60ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:4e60::/32
2401:4e80::,2401:4e80:ffff:ffff:ffff:ffff:ffff:ffff,24014e80000000000000000000000000,24014e80ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:4e80::/32
2401:4f80::,2401:4f80:ffff:ffff:ffff:ffff:ffff:ffff,24014f80000000000000000000000000,24014f80ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,,2401:4f80::/32
2401:5060::,2401:5060:ffff:ffff:ffff:ffff:ffff:ffff,24015060000000000000000000000000,24015060ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:5060::/32
2401:5180::,2401:5180:ffff:ffff:ffff:ffff:ffff:ffff,24015180000000000000000000000000,24015180ffffffffffffffffffffffff,32,中国,上海,,,,310000,31.230525,121.473667,province,,2401:5180::/32
2401:5220::,2401:5220:ffff:ffff:ffff:ffff:ffff:ffff,24015220000000000000000000000000,24015220ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:5220::/32
2401:5480::,2401:5480:ffff:ffff:ffff:ffff:ffff:ffff,24015480000000000000000000000000,24015480ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:5480::/32
2401:55a0::,2401:55a0:ffff:ffff:ffff:ffff:ffff:ffff,240155a0000000000000000000000000,240155a0ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:55a0::/32
2401:55e0::,2401:55e0:ffff:ffff:ffff:ffff:ffff:ffff,240155e0000000000000000000000000,240155e0ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:55e0::/32
2401:5680::,2401:5680:ffff:ffff:ffff:ffff:ffff:ffff,24015680000000000000000000000000,24015680ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:5680::/32
2401:58a0::,2401:58a0:ffff:ffff:ffff:ffff:ffff:ffff,240158a0000000000000000000000000,240158a0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:58a0::/32
2401:5900::,2401:5900:ffff:ffff:ffff:ffff:ffff:ffff,24015900000000000000000000000000,24015900ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:5900::/32
2401:59c0::,2401:59c0:ffff:ffff:ffff:ffff:ffff:ffff,240159c0000000000000000000000000,240159c0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:59c0::/32
2401:5a00::,2401:5a00:ffff:ffff:ffff:ffff:ffff:ffff,24015a00000000000000000000000000,24015a00ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:5a00::/32
2401:5b40::,2401:5b40:ffff:ffff:ffff:ffff:ffff:ffff,24015b40000000000000000000000000,24015b40ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:5b40::/32
2401:5c20::,2401:5c20:ffff:ffff:ffff:ffff:ffff:ffff,24015c20000000000000000000000000,24015c20ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:5c20::/32
2401:5c60::,2401:5c60:ffff:ffff:ffff:ffff:ffff:ffff,24015c60000000000000000000000000,24015c60ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:5c60::/32
2401:5c80::,2401:5c80:ffff:ffff:ffff:ffff:ffff:ffff,24015c80000000000000000000000000,24015c80ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,,2401:5c80::/32
2401:5da0::,2401:5da0:ffff:ffff:ffff:ffff:ffff:ffff,24015da0000000000000000000000000,24015da0ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:5da0::/32
2401:5dc0::,2401:5dc0:ffff:ffff:ffff:ffff:ffff:ffff,24015dc0000000000000000000000000,24015dc0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2401:5dc0::/32
2401:5e00::,2401:5e00:ffff:ffff:ffff:ffff:ffff:ffff,24015e00000000000000000000000000,24015e00ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:5e00::/32
2401:5f20::,2401:5f20:ffff:ffff:ffff:ffff:ffff:ffff,24015f20000000000000000000000000,24015f20ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:5f20::/32
2401:5fa0::,2401:5fa0:ffff:ffff:ffff:ffff:ffff:ffff,24015fa0000000000000000000000000,24015fa0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:5fa0::/32
2401:7080::,2401:7080:ffff:ffff:ffff:ffff:ffff:ffff,24017080000000000000000000000000,24017080ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2401:7080::/32
2401:70e0::,2401:70e0:ffff:ffff:ffff:ffff:ffff:ffff,240170e0000000000000000000000000,240170e0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:70e0::/32
2401:7180::,2401:7180:ffff:ffff:ffff:ffff:ffff:ffff,24017180000000000000000000000000,24017180ffffffffffffffffffffffff,32,中国,河南,开封,,,410200,34.798083,114.314278,city,,2401:7180::/32
2401:71c0::,2401:71c0:ffff:ffff:ffff:ffff:ffff:ffff,240171c0000000000000000000000000,240171c0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:71c0::/32
2401:7240::,2401:7240:ffff:ffff:ffff:ffff:ffff:ffff,24017240000000000000000000000000,24017240ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:7240::/32
2401:7320::,2401:7320:ffff:ffff:ffff:ffff:ffff:ffff,24017320000000000000000000000000,24017320ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:7320::/32
2401:7360::,2401:7360:ffff:ffff:ffff:ffff:ffff:ffff,24017360000000000000000000000000,24017360ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:7360::/32
2401:73a0::,2401:73a0:ffff:ffff:ffff:ffff:ffff:ffff,240173a0000000000000000000000000,240173a0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:73a0::/32
2401:7580::,2401:7580:ffff:ffff:ffff:ffff:ffff:ffff,24017580000000000000000000000000,24017580ffffffffffffffffffffffff,32,中国,江苏,无锡,,,320200,31.491064,120.311889,city,,2401:7580::/32
2401:75c0::,2401:75c0:ffff:ffff:ffff:ffff:ffff:ffff,240175c0000000000000000000000000,240175c0ffffffffffffffffffffffff,32,中国澳门,澳门,,,澳门,,,,country,,2401:75c0::/32
2401:7660::,2401:7660:ffff:ffff:ffff:ffff:ffff:ffff,24017660000000000000000000000000,24017660ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2401:7660::/32
2401:7680::,2401:7680:ffff:ffff:ffff:ffff:ffff:ffff,24017680000000000000000000000000,24017680ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,,2401:7680::/32
2401:7700::,2401:7700:ffff:ffff:ffff:ffff:ffff:ffff,24017700000000000000000000000000,24017700ffffffffffffffffffffffff,32,中国,四川,成都,,,510100,30.572961,104.066301,city,,2401:7700::/32
2401:7780::,2401:7780:ffff:ffff:ffff:ffff:ffff:ffff,24017780000000000000000000000000,24017780ffffffffffffffffffffffff,32,中国,山东,临沂,,,371300,35.103771,118.356464,city,,2401:7780::/32
